LAD22CD,Name,Region,Area
E07000223,Adur,SouthEast,43647956.24
E07000026,Allerdale,NorthWest,1320568295
E07000032,Amber Valley,EastMids,265437895.6
E07000224,Arun,SouthEast,224703265.8
E07000170,Ashfield,EastMids,109557954.1
E07000105,Ashford,SouthEast,580617311.9
E07000200,Babergh,East ,611604139.5
E09000002,Barking and Dagenham,London,37781772.48
E09000003,Barnet,London,86748227.88
E08000016,Barnsley,Yorkshire,329077576.7
E07000027,Barrow-in-Furness,NorthWest,132075307.2
E07000066,Basildon,East ,110449130.9
E07000084,Basingstoke and Deane,SouthEast,633808768.3
E07000171,Bassetlaw,EastMids,639492618.5
E06000022,Bath and North East Somerset,SouthWest,351123167.5
E06000055,Bedford,East ,476408313.6
E09000004,Bexley,London,64312847.9
E08000025,Birmingham,WestMids,267791151.7
E07000129,Blaby,EastMids,130468683.7
E06000008,Blackburn with Darwen,NorthWest,137022093.5
E06000009,Blackpool,NorthWest,43150733.1
E07000033,Bolsover,EastMids,160334643.5
E08000001,Bolton,NorthWest,139792040.7
E07000136,Boston,EastMids,397792639.4
E06000058,"Bournemouth, Christchurch and Poole",,173932088
E06000036,Bracknell Forest,SouthEast,109384217.9
E08000032,Bradford,Yorkshire,366419689.5
E07000067,Braintree,East ,611708022.1
E07000143,Breckland,East ,1305116636
E09000005,Brent,London,43232684.13
E07000068,Brentwood,East ,153124041.9
E06000043,Brighton and Hove,SouthEast,85385921.63
E06000023,"Bristol, City of",,235441930.5
E07000144,Broadland,East ,553244263.9
E09000006,Bromley,London,150130427.2
E07000234,Bromsgrove,WestMids,216968441.1
E07000095,Broxbourne,East ,51442323.46
E07000172,Broxtowe,EastMids,80098843.92
E06000060,Buckinghamshire,SouthEast,1564937985
E07000117,Burnley,NorthWest,110683988.6
E08000002,Bury,NorthWest,99460098.09
E08000033,Calderdale,Yorkshire,363960946.6
E07000008,Cambridge,East ,40698821.55
E09000007,Camden,London,21789308.6
E07000192,Cannock Chase,WestMids,78882578.35
E07000106,Canterbury,SouthEast,318604498.4
E07000028,Carlisle,NorthWest,1056791944
E07000069,Castle Point,East ,63622071.05
E06000056,Central Bedfordshire,East ,715665436.2
E07000130,Charnwood,EastMids,279042271.3
E07000070,Chelmsford,East ,342997310
E07000078,Cheltenham,SouthWest,46596063.96
E07000177,Cherwell,SouthEast,588745404.8
E06000049,Cheshire East,NorthWest,1166357340
E06000050,Cheshire West and Chester,NorthWest,941207319.8
E07000034,Chesterfield,EastMids,66035323.14
E07000225,Chichester,SouthEast,812415119.7
E07000118,Chorley,NorthWest,202905506.2
E09000001,City of London,,3147460.273
E07000071,Colchester,East ,346773262
E07000029,Copeland,NorthWest,775540935.5
E06000052,Cornwall,SouthWest,3611926259
E07000079,Cotswold,SouthWest,1164524435
E06000047,County Durham,NorthEast,2232584261
E08000026,Coventry,WestMids,98639088.66
E07000163,Craven,Yorkshire,1178807535
E07000226,Crawley,SouthEast,44971227.4
E09000008,Croydon,London,86496808.33
E07000096,Dacorum,East ,212476384.7
E06000005,Darlington,NorthEast,197477753.6
E07000107,Dartford,SouthEast,76310455.62
E06000015,Derby,EastMids,78031107.36
E07000035,Derbyshire Dales,EastMids,795318009.7
E08000017,Doncaster,Yorkshire,568535459.4
E06000059,Dorset,SouthWest,2521074344
E07000108,Dover,SouthEast,320781018.6
E08000027,Dudley,WestMids,97958229.51
E09000009,Ealing,London,55544376.03
E07000009,East Cambridgeshire,East ,651720387.9
E07000040,East Devon,SouthWest,822443250.9
E07000085,East Hampshire,SouthEast,514427244.7
E07000242,East Hertfordshire,East ,475669142.2
E07000137,East Lindsey,EastMids,1830857187
E06000011,East Riding of Yorkshire,Yorkshire,2491782367
E07000193,East Staffordshire,WestMids,389987122.8
E07000244,East Suffolk,East ,1294835923
E07000061,Eastbourne,SouthEast,45331279.79
E07000086,Eastleigh,SouthEast,85297359.68
E07000030,Eden,NorthWest,2156479430
E07000207,Elmbridge,SouthEast,96334273.08
E09000010,Enfield,London,82200174.3
E07000072,Epping Forest,East ,338984118.3
E07000208,Epsom and Ewell,SouthEast,34079154.54
E07000036,Erewash,EastMids,109630039.4
E07000041,Exeter,SouthWest,47884796.92
E07000087,Fareham,SouthEast,77884460.37
E07000010,Fenland,East ,547355452.6
E07000112,Folkestone and Hythe,,365467308.2
E07000080,Forest of Dean,SouthWest,561873675.6
E07000119,Fylde,NorthWest,181731239
E08000037,Gateshead,NorthEast,144054123.8
E07000173,Gedling,EastMids,119981502.2
E07000081,Gloucester,SouthWest,40826604.44
E07000088,Gosport,SouthEast,27607879.63
E07000109,Gravesham,SouthEast,104958772.6
E07000145,Great Yarmouth,East ,182555455.8
E09000011,Greenwich,London,50439344.63
E07000209,Guildford,SouthEast,270931144
E09000012,Hackney,London,19046912.98
E06000006,Halton,NorthWest,90321511.76
E07000164,Hambleton,Yorkshire,1311256294
E09000013,Hammersmith and Fulham,London,17153953.68
E07000131,Harborough,EastMids,592692009
E09000014,Haringey,London,29598417.65
E07000073,Harlow,East ,30537927.56
E07000165,Harrogate,Yorkshire,1309117876
E09000015,Harrow,London,50463307.38
E07000089,Hart,SouthEast,215265062.9
E06000001,Hartlepool,NorthEast,98351064.55
E07000062,Hastings,SouthEast,30801104.22
E07000090,Havant,SouthEast,78947468.65
E09000016,Havering,London,114457476.4
E06000019,"Herefordshire, County of",,2179708318
E07000098,Hertsmere,East ,101128118.2
E07000037,High Peak,EastMids,540254001.2
E09000017,Hillingdon,London,115700600.1
E07000132,Hinckley and Bosworth,EastMids,297351522.8
E07000227,Horsham,SouthEast,530962077.8
E09000018,Hounslow,London,56585426.72
E07000011,Huntingdonshire,East ,912545809.9
E07000120,Hyndburn,NorthWest,73006532
E07000202,Ipswich,East ,40300103.52
E06000046,Isle of Wight,SouthEast,392824490.5
E06000053,Isles of Scilly,SouthWest,22851421.59
E09000019,Islington,London,14856680.66
E09000020,Kensington and Chelsea,London,12383966.97
E07000146,King's Lynn and West Norfolk,,1526887177
E06000010,"Kingston upon Hull, City of",,81468835.76
E09000021,Kingston upon Thames,,37265392.92
E08000034,Kirklees,Yorkshire,408551667.4
E08000011,Knowsley,NorthWest,86500031.73
E09000022,Lambeth,London,27237356.69
E07000121,Lancaster,NorthWest,653896975.1
E08000035,Leeds,Yorkshire,551706498.1
E06000016,Leicester,EastMids,73342034.17
E07000063,Lewes,SouthEast,294397948.4
E09000023,Lewisham,London,35317111.24
E07000194,Lichfield,WestMids,331294321.2
E07000138,Lincoln,EastMids,35690262.18
E08000012,Liverpool,NorthWest,133533748.8
E06000032,Luton,East ,43352485.67
E07000110,Maidstone,SouthEast,393350723.3
E07000074,Maldon,East ,428049209.8
E07000235,Malvern Hills,WestMids,577070951.9
E08000003,Manchester,NorthWest,115648443.6
E07000174,Mansfield,EastMids,76696927.49
E06000035,Medway,SouthEast,268923292
E07000133,Melton,EastMids,481380450.7
E07000187,Mendip,SouthWest,739435455.8
E09000024,Merton,London,37624746.53
E07000042,Mid Devon,SouthWest,912900687.4
E07000203,Mid Suffolk,East ,871070710
E07000228,Mid Sussex,SouthEast,334029216.7
E06000002,Middlesbrough,NorthEast,54553581.07
E06000042,Milton Keynes,SouthEast,308626721.7
E07000210,Mole Valley,SouthEast,258321090.6
E07000091,New Forest,SouthEast,776285690.1
E07000175,Newark and Sherwood,EastMids,651835341.5
E08000021,Newcastle upon Tyne,NorthEast,115108949.4
E07000195,Newcastle-under-Lyme,WestMids,210957296
E09000025,Newham,London,38581475.49
E07000043,North Devon,SouthWest,1104740394
E07000038,North East Derbyshire,EastMids,275623494.3
E06000012,North East Lincolnshire,Yorkshire,202662627.8
E07000099,North Hertfordshire,East ,375382263.8
E07000139,North Kesteven,EastMids,922471413.9
E06000013,North Lincolnshire,Yorkshire,878893399.6
E07000147,North Norfolk,East ,990128094.5
E06000061,North Northamptonshire,EastMids,986594539.2
E06000024,North Somerset,SouthWest,390467165.6
E08000022,North Tyneside,NorthEast,84810132.51
E07000218,North Warwickshire,WestMids,284261518.7
E07000134,North West Leicestershire,EastMids,279328099.7
E06000057,Northumberland,NorthEast,5078358538
E07000148,Norwich,East ,40554064.24
E06000018,Nottingham,EastMids,74613549.31
E07000219,Nuneaton and Bedworth,WestMids,78950267.16
E07000135,Oadby and Wigston,EastMids,23526168.56
E08000004,Oldham,NorthWest,142344867.6
E07000178,Oxford,SouthEast,45602825.51
E07000122,Pendle,NorthWest,169380123.6
E06000031,Peterborough,East ,343437867.1
E06000026,Plymouth,SouthWest,84369818.63
E06000044,Portsmouth,SouthEast,60131417.42
E07000123,Preston,NorthWest,142944810.1
E06000038,Reading,SouthEast,40397937.12
E09000026,Redbridge,London,56440343.72
E06000003,Redcar and Cleveland,NorthEast,253785359.5
E07000236,Redditch,WestMids,54250908.26
E07000211,Reigate and Banstead,SouthEast,129143817.7
E07000124,Ribble Valley,NorthWest,584462410.8
E09000027,Richmond upon Thames,London,58761152.65
E07000166,Richmondshire,Yorkshire,1318702662
E08000005,Rochdale,NorthWest,158128218.9
E07000075,Rochford,East ,262900355.1
E07000125,Rossendale,NorthWest,138040945.4
E07000064,Rother,SouthEast,517123484.1
E08000018,Rotherham,Yorkshire,286534378.9
E07000220,Rugby,WestMids,353557317.7
E07000212,Runnymede,SouthEast,78040680.64
E07000176,Rushcliffe,EastMids,409231546.5
E07000092,Rushmoor,SouthEast,39045031.35
E06000017,Rutland,EastMids,393748938.3
E07000167,Ryedale,Yorkshire,1576581127
E08000006,Salford,NorthWest,97197259.63
E08000028,Sandwell,WestMids,85558906.19
E07000168,Scarborough,Yorkshire,755507449.1
E07000188,Sedgemoor,SouthWest,605947533.7
E08000014,Sefton,NorthWest,202462446.4
E07000169,Selby,Yorkshire,602228017
E07000111,Sevenoaks,SouthEast,370347002.9
E08000019,Sheffield,Yorkshire,367929997.2
E06000051,Shropshire,WestMids,3197275322
E06000039,Slough,SouthEast,32542015.68
E08000029,Solihull,WestMids,178282023.2
E07000246,Somerset West and Taunton,SouthWest,1210524864
E07000012,South Cambridgeshire,East ,901687092.8
E07000039,South Derbyshire,EastMids,338126978.5
E06000025,South Gloucestershire,SouthWest,536758456.1
E07000044,South Hams,SouthWest,905130476.5
E07000140,South Holland,EastMids,815503784.4
E07000141,South Kesteven,EastMids,942585741
E07000031,South Lakeland,NorthWest,1743488742
E07000149,South Norfolk,East ,908906500.7
E07000179,South Oxfordshire,SouthEast,678492168.1
E07000126,South Ribble,NorthWest,114615037.8
E07000189,South Somerset,SouthWest,959070917.2
E07000196,South Staffordshire,WestMids,407322353.3
E08000023,South Tyneside,NorthEast,67074150.03
E06000045,Southampton,SouthEast,56385148.87
E06000033,Southend-on-Sea,East ,67964151.33
E09000028,Southwark,London,29921640.07
E07000213,Spelthorne,SouthEast,51161350.41
E07000240,St Albans,,161205789
E08000013,St. Helens,NorthWest,136358780.9
E07000197,Stafford,WestMids,598172189.4
E07000198,Staffordshire Moorlands,WestMids,575849809
E07000243,Stevenage,East ,25969247.26
E08000007,Stockport,NorthWest,126040348.5
E06000004,Stockton-on-Tees,NorthEast,209730801.5
E06000021,Stoke-on-Trent,WestMids,93448551.65
E07000221,Stratford-on-Avon,WestMids,977869033
E07000082,Stroud,SouthWest,475427750.6
E08000024,Sunderland,NorthEast,139617987.4
E07000214,Surrey Heath,SouthEast,95092963
E09000029,Sutton,London,43842789.96
E07000113,Swale,SouthEast,422001847.5
E06000030,Swindon,SouthWest,230093343.9
E08000008,Tameside,NorthWest,103154247.7
E07000199,Tamworth,WestMids,30850724.01
E07000215,Tandridge,SouthEast,248194583
E07000045,Teignbridge,SouthWest,680052721.3
E06000020,Telford and Wrekin,WestMids,290313536.6
E07000076,Tendring,East ,366182684.4
E07000093,Test Valley,SouthEast,627632026.7
E07000083,Tewkesbury,SouthWest,414975908.1
E07000114,Thanet,SouthEast,112464079
E07000102,Three Rivers,East ,88824130.62
E06000034,Thurrock,East ,184431446.7
E07000115,Tonbridge and Malling,SouthEast,240973324.5
E06000027,Torbay,SouthWest,119452393.6
E07000046,Torridge,SouthWest,995287725.2
E09000030,Tower Hamlets,London,21576472.91
E08000009,Trafford,NorthWest,106044604.8
E07000116,Tunbridge Wells,SouthEast,331328785.7
E07000077,Uttlesford,East ,641182884
E07000180,Vale of White Horse,SouthEast,578679719.5
E08000036,Wakefield,Yorkshire,338619719.5
E08000030,Walsall,WestMids,103973530
E09000031,Waltham Forest,London,38807995.95
E09000032,Wandsworth,London,35220321.99
E06000007,Warrington,NorthWest,182383630.4
E07000222,Warwick,WestMids,282882324.6
E07000103,Watford,East ,21430353.23
E07000216,Waverley,SouthEast,345170238.5
E07000065,Wealden,SouthEast,836160747.6
E07000241,Welwyn Hatfield,East ,129536962.9
E06000037,West Berkshire,SouthEast,704182731.4
E07000047,West Devon,SouthWest,1164731578
E07000127,West Lancashire,NorthWest,380965599
E07000142,West Lindsey,EastMids,1157652118
E06000062,West Northamptonshire,EastMids,1380395591
E07000181,West Oxfordshire,SouthEast,714422037.3
E07000245,West Suffolk,East ,1034675738
E09000033,Westminster,London,22030013.05
E08000010,Wigan,NorthWest,188171014.8
E06000054,Wiltshire,SouthWest,3255338106
E07000094,Winchester,SouthEast,661061291.9
E06000040,Windsor and Maidenhead,SouthEast,198427158.6
E08000015,Wirral,NorthWest,253443639.5
E07000217,Woking,SouthEast,63603608.29
E06000041,Wokingham,SouthEast,178969062.9
E08000031,Wolverhampton,WestMids,69436685.13
E07000237,Worcester,WestMids,33278111.12
E07000229,Worthing,SouthEast,33783042.71
E07000238,Wychavon,WestMids,663542007.5
E07000128,Wyre,NorthWest,328789981.9
E07000239,Wyre Forest,WestMids,195403730.3
E06000014,York,Yorkshire,272009286.3